student_id,name,department,age,exam_score,attendance_percent,assignment_score
103,Bob Taylor,Information Technology,25,66,73,93
104,Laura Davis,Computer Science,20,71,81,73
105,Quentin Smith,Data Science,21,77,60,93
106,Nina Garcia,Civil,20,63,68,77
107,Quentin Johnson,Data Science,21,80,80,93
108,Nina Miller,Data Science,25,70,82,68
109,Nina Davis,Data Science,22,91,98,97
110,Grace Brown,Civil,24,72,89,58
111,Steve Johnson,Civil,22,70,85,71
112,Julia Smith,Mechanical,24,96,61,54
113,Frank Anderson,Electronics,19,97,88,92
114,Bob Brown,Civil,21,82,76,79
115,Kevin Johnson,Mechanical,22,59,90,55
116,Paula Brown,Data Science,24,67,64,81
117,Tina Williams,Information Technology,23,67,62,84
118,Tina Davis,Mechanical,22,80,64,62
119,Rachel Garcia,Information Technology,23,56,84,75
120,Steve Davis,Electronics,21,80,65,61
121,Charlie Garcia,Civil,22,86,96,81
122,Charlie Garcia,Computer Science,24,59,78,62
123,Michael Taylor,Civil,21,63,84,57
124,Helen Williams,Computer Science,24,60,94,76
125,Grace Taylor,Computer Science,19,91,67,89
126,Laura Johnson,Electronics,18,98,75,88
127,Kevin Garcia,Information Technology,25,52,100,91
128,Bob Johnson,Electronics,23,65,82,87
129,Frank Martinez,Computer Science,22,53,64,73
130,Oscar Anderson,Mechanical,22,85,70,77
131,Laura Anderson,Electronics,21,56,91,69
132,Charlie Garcia,Mechanical,21,85,83,93
133,Grace Brown,Civil,23,80,80,71
134,Eva Brown,Computer Science,24,72,80,77
135,Grace Williams,Mechanical,24,80,67,69
136,Paula Williams,Mechanical,18,64,83,61
137,Helen Johnson,Computer Science,20,75,95,78
138,Eva Martinez,Computer Science,19,97,70,65
139,Eva Taylor,Information Technology,23,67,71,75
140,Quentin Taylor,Mechanical,20,97,62,100
141,Rachel Davis,Data Science,23,67,69,71
142,Rachel Anderson,Electronics,20,54,60,81
143,David Garcia,Electronics,24,51,84,59
144,Bob Smith,Electronics,22,98,87,65
145,Rachel Garcia,Mechanical,23,54,97,75
146,Ivan Taylor,Mechanical,21,57,71,59
147,Laura Garcia,Computer Science,23,66,86,74
148,Steve Garcia,Information Technology,25,53,80,58
149,Oscar Miller,Electronics,19,59,68,65
150,Tina Miller,Data Science,19,84,77,60
151,Julia Davis,Data Science,25,68,75,63
152,Kevin Taylor,Computer Science,23,70,98,67
153,Nina Miller,Data Science,21,98,85,90
154,Steve Smith,Electronics,20,56,79,64
155,Grace Garcia,Civil,21,87,78,68
156,Frank Smith,Computer Science,22,76,61,61
157,Paula Brown,Computer Science,23,52,86,87
158,Kevin Smith,Information Technology,20,57,79,57
159,Rachel Martinez,Data Science,24,81,65,61
160,Julia Williams,Civil,25,87,67,89
161,Paula Smith,Mechanical,24,63,96,51
162,David Smith,Information Technology,21,98,85,50
163,Laura Johnson,Civil,22,88,89,89
164,Charlie Anderson,Electronics,18,72,70,78
165,Grace Miller,Information Technology,20,74,93,72
166,Quentin Anderson,Mechanical,20,75,78,97
167,Julia Johnson,Civil,21,82,94,96
168,Helen Garcia,Computer Science,25,94,97,81
169,Rachel Martinez,Mechanical,22,83,88,67
170,Michael Davis,Data Science,18,66,99,53
171,Grace Taylor,Information Technology,18,98,74,95
172,Quentin Smith,Information Technology,20,56,92,73
173,Rachel Anderson,Electronics,18,64,80,72
174,Laura Davis,Electronics,24,87,96,67
175,Tina Miller,Data Science,21,61,96,82
176,Laura Davis,Electronics,24,99,62,86
177,Kevin Garcia,Information Technology,20,75,96,52
178,Laura Martinez,Data Science,22,79,68,58
179,Quentin Martinez,Data Science,20,86,90,98
180,Frank Miller,Electronics,24,87,93,76
181,Tina Johnson,Mechanical,19,88,95,75
182,Bob Taylor,Civil,25,54,94,55
183,Helen Miller,Electronics,21,67,66,86
184,Steve Davis,Computer Science,23,62,80,57
185,David Smith,Mechanical,19,77,80,75
186,Alice Davis,Electronics,21,58,98,76
187,Bob Johnson,Mechanical,21,99,64,98
188,Bob Martinez,Mechanical,22,84,60,67
189,Helen Brown,Electronics,24,62,94,69
190,Rachel Smith,Data Science,25,63,95,97
191,Helen Martinez,Data Science,24,74,63,97
192,Oscar Anderson,Computer Science,22,96,78,59
193,Grace Williams,Computer Science,22,74,93,62
194,Helen Miller,Civil,22,78,60,53
195,Bob Williams,Data Science,19,89,75,100
196,Grace Anderson,Data Science,19,80,95,57
197,David Martinez,Computer Science,21,71,78,83
198,Julia Martinez,Mechanical,24,97,83,77
199,Alice Smith,Computer Science,24,79,60,90
200,Nina Garcia,Civil,19,79,97,79
201,Alice Davis,Civil,24,52,89,93
202,Grace Brown,Electronics,21,85,65,91
203,Kevin Anderson,Information Technology,22,55,64,61
204,Quentin Martinez,Data Science,19,61,60,75
205,Oscar Smith,Computer Science,23,82,81,80
206,Alice Johnson,Civil,20,63,62,53
207,Alice Smith,Civil,20,68,86,62
208,Michael Smith,Computer Science,18,92,75,93
209,Laura Johnson,Electronics,21,81,68,50
210,Michael Brown,Computer Science,21,77,93,72
211,Steve Smith,Mechanical,21,76,79,50
212,David Anderson,Civil,19,60,66,90
213,Helen Martinez,Civil,20,76,87,54
214,Alice Johnson,Electronics,19,82,84,93
215,Grace Anderson,Data Science,24,71,61,57
216,Charlie Miller,Civil,24,89,83,53
217,Nina Martinez,Data Science,21,67,84,94
218,Tina Martinez,Electronics,19,74,80,69
219,Kevin Miller,Civil,18,65,80,96
220,Frank Davis,Computer Science,22,72,79,87
221,Paula Miller,Information Technology,23,58,75,63
222,Alice Johnson,Computer Science,21,71,97,89
223,Alice Brown,Civil,21,86,95,99
224,Bob Johnson,Mechanical,18,90,85,51
225,Steve Anderson,Computer Science,20,98,74,85
226,Charlie Davis,Civil,22,84,96,59
227,Grace Brown,Data Science,19,93,66,54
228,Oscar Taylor,Mechanical,18,64,81,66
229,Oscar Miller,Mechanical,19,74,65,90
230,Kevin Anderson,Mechanical,24,82,92,93
231,Nina Smith,Electronics,24,60,69,59
232,Laura Brown,Information Technology,24,79,97,92
233,Helen Miller,Civil,23,66,74,59
234,David Garcia,Electronics,20,51,85,85
235,Laura Taylor,Data Science,24,66,91,85
236,Ivan Anderson,Computer Science,19,51,81,97
237,Kevin Garcia,Data Science,25,100,66,78
238,Michael Garcia,Computer Science,22,60,91,64
239,Kevin Taylor,Information Technology,18,81,99,74
240,Bob Garcia,Mechanical,20,90,62,76
241,Alice Miller,Computer Science,23,70,79,52
242,Frank Davis,Information Technology,18,71,94,82
243,Michael Miller,Civil,18,66,73,88
244,Laura Williams,Computer Science,25,68,77,52
245,Alice Miller,Mechanical,24,50,61,77
246,Eva Brown,Mechanical,21,57,88,60
247,Oscar Johnson,Civil,21,80,99,94
248,Quentin Anderson,Electronics,19,60,72,84
249,Alice Davis,Mechanical,23,93,89,51
250,Quentin Johnson,Civil,25,62,72,86
251,Alice Martinez,Mechanical,23,68,84,80
252,Alice Martinez,Electronics,19,56,73,52
253,Oscar Garcia,Data Science,24,59,78,78
254,Eva Brown,Mechanical,23,69,78,70
255,Julia Johnson,Data Science,24,66,95,58
256,Nina Davis,Mechanical,18,90,86,61
257,Frank Miller,Civil,23,84,70,81
258,Tina Miller,Electronics,24,97,90,67
259,Laura Martinez,Electronics,21,71,76,66
260,Rachel Anderson,Electronics,21,77,69,80
261,Michael Brown,Civil,21,56,85,87
262,Grace Smith,Civil,18,63,83,91
263,Nina Miller,Computer Science,20,55,83,97
264,Michael Williams,Electronics,18,80,69,89
265,Rachel Davis,Mechanical,23,86,75,75
266,Paula Brown,Information Technology,21,82,87,54
267,Steve Taylor,Information Technology,23,52,93,82
268,Alice Taylor,Civil,19,79,72,87
269,Grace Brown,Electronics,22,66,93,54
270,Alice Smith,Civil,20,60,62,60
271,Quentin Johnson,Data Science,24,80,78,89
272,Frank Martinez,Data Science,20,52,60,71
273,Laura Anderson,Mechanical,24,88,83,69
274,Paula Smith,Civil,23,67,68,83
275,Alice Brown,Civil,20,88,95,79
276,Helen Martinez,Computer Science,18,60,68,72
277,Eva Garcia,Information Technology,19,96,64,54
278,Grace Martinez,Information Technology,22,75,67,54
279,Alice Martinez,Data Science,24,93,99,91
280,Alice Anderson,Civil,19,51,78,55
281,Kevin Smith,Data Science,25,63,93,74
282,Helen Martinez,Electronics,19,77,95,70
283,Eva Garcia,Computer Science,23,77,100,55
284,Frank Brown,Mechanical,23,70,63,86
285,Grace Brown,Electronics,21,83,64,87
286,Michael Johnson,Data Science,25,62,80,62
287,Paula Smith,Information Technology,21,87,92,90
288,Grace Williams,Computer Science,19,58,69,96
289,Quentin Smith,Computer Science,23,62,65,65
290,Ivan Williams,Computer Science,20,59,83,80
291,Alice Smith,Data Science,18,91,93,75
292,Bob Miller,Civil,19,51,90,65
293,Steve Johnson,Data Science,20,72,95,93
294,Ivan Anderson,Mechanical,23,84,75,77
295,Oscar Anderson,Computer Science,25,54,62,91
296,Nina Davis,Civil,24,98,61,51
297,Paula Anderson,Mechanical,22,58,71,85
298,Steve Smith,Mechanical,21,73,72,64
299,Tina Smith,Data Science,22,60,92,62
300,Alice Smith,Mechanical,21,83,75,99
301,Frank Smith,Information Technology,25,98,66,61
302,Paula Brown,Electronics,22,82,91,72
303,Bob Williams,Electronics,24,72,77,61
304,Helen Anderson,Computer Science,24,56,78,71
305,Alice Martinez,Data Science,22,60,99,91
306,Bob Anderson,Information Technology,20,100,74,98
307,Alice Smith,Electronics,23,82,83,51
308,Paula Martinez,Information Technology,21,93,85,78
309,Grace Johnson,Information Technology,25,65,98,54
310,Tina Brown,Information Technology,24,76,84,88
311,Grace Martinez,Data Science,25,59,90,65
312,Rachel Anderson,Electronics,20,76,64,99
313,Eva Taylor,Civil,24,80,76,70
314,Ivan Miller,Electronics,22,91,90,64
315,Quentin Johnson,Information Technology,18,73,93,79
316,Alice Brown,Civil,22,74,90,57
317,Ivan Brown,Mechanical,23,90,98,78
318,Oscar Anderson,Mechanical,25,51,64,78
319,Eva Davis,Mechanical,18,89,75,100
320,Kevin Davis,Mechanical,22,76,87,60
321,Tina Davis,Civil,23,51,63,62
322,Frank Brown,Mechanical,24,77,62,100
323,Michael Taylor,Mechanical,24,82,83,79
324,Paula Miller,Electronics,19,76,86,57
325,Eva Smith,Electronics,24,50,73,63
326,Helen Taylor,Electronics,19,63,94,71
327,Rachel Williams,Data Science,23,50,62,50
328,Charlie Martinez,Mechanical,19,50,95,88
329,Nina Garcia,Civil,19,76,67,58
330,Paula Williams,Civil,18,89,72,55
331,Paula Brown,Mechanical,24,76,94,59
332,Oscar Davis,Computer Science,21,69,69,87
333,Kevin Garcia,Information Technology,25,79,79,50
334,Rachel Smith,Data Science,25,78,89,86
335,Tina Taylor,Data Science,25,53,64,81
336,Quentin Davis,Data Science,25,91,82,68
337,David Johnson,Data Science,20,56,63,51
338,Laura Brown,Civil,19,64,66,54
339,Michael Smith,Computer Science,21,95,62,90
340,Paula Anderson,Data Science,20,99,78,56
341,David Miller,Electronics,25,98,81,56
342,Steve Smith,Mechanical,22,50,87,99
343,Quentin Davis,Mechanical,20,94,65,63
344,Nina Johnson,Data Science,21,83,88,51
345,Michael Smith,Electronics,25,58,98,94
346,Tina Brown,Computer Science,25,92,97,67
347,Quentin Smith,Civil,18,96,92,87
348,David Smith,Information Technology,22,53,79,64
349,Steve Taylor,Electronics,21,58,100,73
350,Helen Williams,Civil,19,64,100,82
351,Oscar Anderson,Computer Science,24,71,99,91
352,Bob Miller,Computer Science,24,98,96,88
353,Rachel Smith,Mechanical,19,79,70,82
354,Alice Johnson,Data Science,24,90,82,97
355,Oscar Johnson,Electronics,19,94,98,59
356,Helen Smith,Electronics,25,73,60,67
357,Alice Johnson,Electronics,18,63,83,96
358,Kevin Garcia,Civil,18,52,94,62
359,Steve Davis,Data Science,21,67,95,56
360,Michael Garcia,Data Science,25,79,94,98
361,Helen Martinez,Mechanical,23,50,62,79
362,Nina Brown,Information Technology,22,81,85,76
363,Nina Martinez,Civil,22,57,75,51
364,Kevin Brown,Electronics,18,56,100,74
365,Steve Garcia,Information Technology,20,59,94,73
366,Kevin Davis,Computer Science,18,63,94,90
367,David Brown,Mechanical,25,52,100,89
368,Tina Johnson,Information Technology,20,72,89,92
369,Kevin Martinez,Mechanical,18,65,94,65
370,Helen Taylor,Civil,25,94,94,52
371,Rachel Johnson,Electronics,18,59,83,57
372,Grace Anderson,Computer Science,23,75,92,100
373,Kevin Davis,Information Technology,22,78,85,86
374,Laura Williams,Computer Science,23,60,60,83
375,Steve Martinez,Data Science,23,84,73,66
376,Tina Williams,Electronics,18,97,98,88
377,Oscar Anderson,Computer Science,18,98,72,91
378,Paula Anderson,Civil,25,78,97,93
379,Paula Williams,Civil,23,94,65,58
380,Steve Anderson,Mechanical,19,67,99,69
381,Paula Johnson,Mechanical,25,64,78,65
382,Charlie Garcia,Information Technology,25,79,60,77
383,Quentin Garcia,Data Science,21,93,86,79
384,Oscar Taylor,Data Science,19,60,82,91
385,Tina Smith,Civil,24,57,96,52
386,Steve Anderson,Data Science,22,96,91,76
387,Grace Johnson,Mechanical,18,70,86,65
388,Laura Davis,Computer Science,22,63,77,51
389,Charlie Johnson,Mechanical,22,62,93,52
390,Bob Anderson,Computer Science,25,57,99,52
391,Grace Garcia,Mechanical,24,100,75,51
392,Alice Anderson,Electronics,22,88,69,54
393,Ivan Smith,Mechanical,23,82,92,53
394,Paula Williams,Mechanical,23,98,100,54
395,Nina Johnson,Electronics,19,94,75,76
396,Steve Martinez,Electronics,19,71,63,66
397,Bob Davis,Electronics,20,66,81,62
398,Eva Smith,Mechanical,22,84,74,68
399,Oscar Miller,Mechanical,22,81,85,82
400,Bob Miller,Computer Science,24,75,65,96
401,Julia Davis,Civil,22,51,81,80
402,Paula Brown,Information Technology,21,80,62,90
403,Rachel Taylor,Information Technology,25,62,94,83
404,Nina Johnson,Electronics,22,93,77,57
405,Laura Johnson,Electronics,18,90,89,53
406,Michael Brown,Mechanical,24,82,95,68
407,Rachel Brown,Data Science,20,88,76,95
408,Michael Miller,Electronics,25,82,74,64
409,Julia Miller,Data Science,19,88,92,70
410,Oscar Davis,Information Technology,22,66,64,58
411,Tina Johnson,Computer Science,20,82,62,89
412,Alice Johnson,Information Technology,23,61,84,51
413,Julia Martinez,Computer Science,20,81,82,55
414,Nina Brown,Computer Science,18,72,63,62
415,Eva Miller,Civil,19,86,81,94
416,Steve Williams,Electronics,18,59,90,61
417,Kevin Taylor,Data Science,20,86,67,71
418,Rachel Williams,Information Technology,25,72,64,53
419,Julia Taylor,Computer Science,19,76,85,75
420,Charlie Davis,Electronics,20,81,75,70
421,Eva Miller,Data Science,21,66,87,70
422,Tina Davis,Computer Science,20,98,77,61
423,Alice Garcia,Civil,21,87,93,95
424,Ivan Anderson,Civil,24,56,98,54
425,Frank Anderson,Computer Science,22,64,66,81
426,Oscar Taylor,Information Technology,23,57,67,94
427,Frank Taylor,Information Technology,22,84,89,92
428,Oscar Garcia,Mechanical,23,64,83,99
429,Charlie Brown,Mechanical,25,52,91,87
430,Helen Taylor,Civil,24,92,74,80
431,Rachel Anderson,Electronics,21,55,63,63
432,Bob Taylor,Electronics,20,62,70,82
433,Julia Garcia,Information Technology,24,89,63,80
434,Julia Brown,Information Technology,22,94,96,98
435,Tina Anderson,Mechanical,20,56,79,95
436,Michael Smith,Mechanical,22,72,69,96
437,Bob Williams,Data Science,18,85,87,97
438,Alice Davis,Civil,18,55,85,53
439,Julia Anderson,Information Technology,18,65,63,68
440,Nina Brown,Information Technology,19,54,60,86
441,Ivan Miller,Electronics,19,84,74,98
442,Ivan Johnson,Electronics,18,66,93,94
443,Grace Davis,Data Science,20,52,100,99
444,Rachel Martinez,Computer Science,18,82,86,72
445,Bob Brown,Mechanical,19,76,67,87
446,Tina Johnson,Electronics,19,52,86,50
447,Grace Anderson,Mechanical,22,53,96,77
448,Michael Miller,Mechanical,25,68,73,89
449,David Davis,Civil,21,74,73,78
450,Steve Taylor,Civil,22,89,86,66
451,Rachel Taylor,Electronics,18,84,61,59
452,Steve Brown,Electronics,20,92,77,100
453,Steve Taylor,Civil,21,77,95,94
454,Julia Taylor,Data Science,21,88,87,92
455,Bob Davis,Information Technology,19,83,96,85
456,Grace Garcia,Civil,22,79,66,67
457,Steve Johnson,Information Technology,21,91,85,68
458,Frank Davis,Information Technology,21,72,89,93
459,David Taylor,Mechanical,18,72,87,57
460,Tina Smith,Civil,20,87,69,68
461,Eva Taylor,Civil,23,77,92,56
462,Kevin Garcia,Computer Science,19,67,65,86
463,Nina Martinez,Computer Science,25,72,86,93
464,Ivan Williams,Information Technology,23,73,85,84
465,Grace Smith,Electronics,20,100,100,70
466,Oscar Williams,Computer Science,22,85,95,74
467,Steve Davis,Civil,20,59,73,60
468,Julia Taylor,Data Science,20,68,71,64
469,Charlie Davis,Mechanical,20,94,93,83
470,Rachel Johnson,Computer Science,22,85,60,55
471,Steve Miller,Information Technology,19,92,93,73
472,David Taylor,Civil,21,99,84,64
473,Steve Martinez,Information Technology,21,70,87,83
474,Nina Brown,Mechanical,22,77,79,90
475,Charlie Johnson,Mechanical,19,85,67,68
476,Steve Miller,Civil,23,96,97,78
477,Charlie Williams,Data Science,22,57,69,67
478,Alice Johnson,Information Technology,23,58,70,56
479,Ivan Williams,Information Technology,21,94,92,77
480,Kevin Brown,Data Science,21,73,64,90
481,Rachel Anderson,Mechanical,20,77,85,94
482,Eva Johnson,Civil,22,90,74,79
483,Kevin Brown,Computer Science,20,86,71,74
484,Paula Johnson,Mechanical,20,75,90,54
485,Ivan Martinez,Information Technology,19,100,71,73
486,Kevin Brown,Information Technology,21,84,83,74
487,Bob Brown,Computer Science,19,78,96,54
488,Quentin Johnson,Electronics,19,54,60,75
489,Laura Miller,Mechanical,23,100,85,96
490,Tina Martinez,Mechanical,25,77,67,95
491,Julia Johnson,Data Science,19,57,75,77
492,Michael Brown,Information Technology,18,75,91,75
493,Tina Smith,Mechanical,22,52,62,90
494,Oscar Garcia,Mechanical,22,99,61,63
495,Rachel Martinez,Information Technology,23,50,100,94
496,Steve Martinez,Information Technology,22,93,84,93
497,Paula Johnson,Information Technology,23,64,91,77
498,Grace Miller,Computer Science,25,71,70,70
499,Helen Miller,Data Science,21,83,64,85
500,Ivan Johnson,Data Science,22,65,73,55
501,Eva Miller,Information Technology,18,61,62,51
502,Rachel Brown,Data Science,20,99,87,72
503,Quentin Smith,Computer Science,25,77,68,59
504,Kevin Brown,Data Science,23,55,69,68
505,Julia Brown,Civil,19,97,60,97
506,Bob Garcia,Information Technology,24,73,81,76
507,Eva Taylor,Information Technology,20,65,94,90
508,Paula Brown,Electronics,24,76,71,72
509,Paula Miller,Computer Science,19,52,80,65
510,Laura Johnson,Information Technology,22,57,90,77
511,Steve Garcia,Data Science,18,75,75,92
512,Bob Garcia,Information Technology,25,87,65,87
513,Julia Williams,Civil,22,50,83,59
514,Tina Williams,Civil,20,69,92,99
515,Kevin Anderson,Mechanical,20,56,75,92
516,Frank Davis,Electronics,24,98,78,67
517,Grace Garcia,Data Science,20,79,65,82
518,Grace Williams,Information Technology,25,64,80,61
519,Frank Williams,Mechanical,25,64,82,60
520,Oscar Brown,Computer Science,19,99,97,84
521,Laura Taylor,Information Technology,21,55,60,78
522,Tina Garcia,Electronics,21,56,60,57
523,Grace Miller,Electronics,22,89,89,60
524,Alice Williams,Civil,23,75,67,81
525,Bob Smith,Electronics,19,63,68,95
526,Ivan Taylor,Mechanical,20,50,96,68
527,Frank Anderson,Information Technology,20,91,78,71
528,Julia Garcia,Civil,25,67,71,55
529,Charlie Taylor,Civil,19,63,99,93
530,Eva Davis,Mechanical,19,94,90,95
531,Grace Taylor,Computer Science,22,55,69,67
532,Bob Garcia,Mechanical,25,89,62,98
533,Rachel Taylor,Computer Science,23,59,85,61
534,Quentin Brown,Information Technology,23,83,72,78
535,Grace Williams,Civil,18,94,63,85
536,Michael Taylor,Civil,19,54,84,56
537,Nina Brown,Computer Science,19,67,93,92
538,Charlie Brown,Civil,21,90,96,100
539,Charlie Williams,Civil,19,97,78,78
540,Charlie Martinez,Computer Science,25,64,88,52
541,Julia Martinez,Data Science,20,66,71,52
542,Michael Williams,Data Science,19,82,97,67
543,Grace Anderson,Electronics,24,65,100,94
544,Quentin Williams,Electronics,23,77,84,57
545,Laura Taylor,Electronics,18,67,87,50
546,Julia Davis,Computer Science,24,52,99,61
547,Tina Johnson,Civil,21,55,65,75
548,Helen Garcia,Electronics,21,50,64,81
549,Tina Garcia,Mechanical,25,94,84,62
550,Alice Smith,Computer Science,23,50,96,63
551,Rachel Taylor,Data Science,20,57,83,100
552,Eva Brown,Mechanical,21,68,64,66
553,Frank Johnson,Information Technology,18,78,94,93
554,Frank Miller,Mechanical,20,81,97,66
555,Bob Miller,Information Technology,24,55,89,90
556,Eva Johnson,Information Technology,19,96,75,54
557,Laura Brown,Information Technology,21,99,60,77
558,Laura Smith,Mechanical,19,68,82,53
559,Kevin Miller,Information Technology,18,84,65,51
560,David Brown,Information Technology,25,84,96,74
561,Charlie Miller,Computer Science,18,82,98,50
562,Helen Anderson,Data Science,19,100,97,88
563,Ivan Miller,Electronics,20,70,84,75
564,Alice Anderson,Mechanical,25,76,81,52
565,Oscar Smith,Data Science,20,80,70,71
566,Helen Martinez,Data Science,22,64,97,89
567,Michael Garcia,Data Science,25,94,60,66
568,Laura Brown,Data Science,24,89,69,62
569,Bob Williams,Civil,20,77,77,74
570,Quentin Brown,Computer Science,22,94,63,92
571,Quentin Miller,Data Science,23,94,87,94
572,Rachel Brown,Information Technology,23,70,89,91
573,Oscar Martinez,Data Science,22,99,78,92
574,Michael Smith,Information Technology,24,53,95,72
575,Ivan Brown,Civil,21,57,88,88
576,Rachel Martinez,Computer Science,18,96,66,69
577,Charlie Anderson,Civil,21,60,69,60
578,Paula Anderson,Civil,18,76,67,77
579,David Taylor,Mechanical,18,97,66,74
580,Bob Davis,Mechanical,18,57,97,98
581,Julia Anderson,Civil,18,55,81,89
582,Charlie Williams,Data Science,25,98,86,89
583,Quentin Williams,Mechanical,20,55,81,82
584,David Williams,Electronics,20,74,75,77
585,Julia Martinez,Mechanical,19,55,89,76
586,Paula Anderson,Electronics,21,72,68,79
587,Paula Anderson,Electronics,22,67,61,63
588,Eva Miller,Electronics,23,74,96,98
589,Paula Smith,Computer Science,21,90,61,89
590,Grace Miller,Data Science,19,64,77,78
591,Kevin Garcia,Computer Science,24,97,74,96
592,Laura Miller,Civil,19,91,86,61
593,Ivan Williams,Computer Science,25,60,100,67
594,Alice Smith,Data Science,22,67,66,50
595,Steve Miller,Computer Science,21,75,90,67
596,Nina Johnson,Data Science,21,75,88,62
597,Paula Davis,Data Science,20,52,97,58
598,Michael Taylor,Electronics,25,79,84,80
599,Michael Smith,Computer Science,21,73,100,58
600,Alice Smith,Mechanical,24,75,85,57
601,Ivan Davis,Mechanical,23,90,86,77
602,David Davis,Information Technology,19,82,94,75
603,Nina Johnson,Data Science,20,94,88,62
604,Grace Williams,Mechanical,22,76,70,93
605,Charlie Davis,Mechanical,25,54,75,79
